,columns,missing values count
287,Sensor - 288,9
288,Sensor - 289,9
289,Sensor - 290,9
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,2313
293,Sensor - 294,2313
294,Sensor - 295,3
295,Sensor - 296,3
296,Sensor - 297,3
297,Sensor - 298,3
298,Sensor - 299,3
299,Sensor - 300,3
300,Sensor - 301,3
301,Sensor - 302,3
302,Sensor - 303,3
303,Sensor - 304,3
304,Sensor - 305,3
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,42
314,Sensor - 315,42
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,3
327,Sensor - 328,3
328,Sensor - 329,3
329,Sensor - 330,3
330,Sensor - 331,3
331,Sensor - 332,3
332,Sensor - 333,15
333,Sensor - 334,15
334,Sensor - 335,15
335,Sensor - 336,15
336,Sensor - 337,15
337,Sensor - 338,15
338,Sensor - 339,15
339,Sensor - 340,15
340,Sensor - 341,15
341,Sensor - 342,15
342,Sensor - 343,15
343,Sensor - 344,15
344,Sensor - 345,15
345,Sensor - 346,1590
346,Sensor - 347,1590
347,Sensor - 348,15
348,Sensor - 349,72
349,Sensor - 350,72
350,Sensor - 351,72
351,Sensor - 352,72
352,Sensor - 353,72
353,Sensor - 354,72
354,Sensor - 355,72
355,Sensor - 356,72
356,Sensor - 357,3
357,Sensor - 358,6
358,Sensor - 359,1833
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,153
363,Sensor - 364,153
364,Sensor - 365,15
365,Sensor - 366,6
366,Sensor - 367,6
367,Sensor - 368,15
368,Sensor - 369,15
369,Sensor - 370,15
370,Sensor - 371,15
371,Sensor - 372,15
372,Sensor - 373,15
373,Sensor - 374,15
374,Sensor - 375,15
375,Sensor - 376,15
376,Sensor - 377,6
377,Sensor - 378,6
378,Sensor - 379,15
379,Sensor - 380,15
380,Sensor - 381,15
381,Sensor - 382,15
382,Sensor - 383,864
383,Sensor - 384,864
384,Sensor - 385,864
385,Sensor - 386,1671
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,72
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,9
395,Sensor - 396,9
396,Sensor - 397,9
397,Sensor - 398,9
398,Sensor - 399,9
399,Sensor - 400,9
400,Sensor - 401,9
401,Sensor - 402,9
402,Sensor - 403,9
403,Sensor - 404,9
404,Sensor - 405,9
405,Sensor - 406,9
406,Sensor - 407,9
407,Sensor - 408,9
408,Sensor - 409,0
409,Sensor - 410,3
410,Sensor - 411,9
411,Sensor - 412,39
412,Sensor - 413,39
413,Sensor - 414,39
414,Sensor - 415,39
415,Sensor - 416,39
416,Sensor - 417,24
417,Sensor - 418,6
418,Sensor - 419,6
419,Sensor - 420,6
420,Sensor - 421,6
421,Sensor - 422,6
422,Sensor - 423,9
423,Sensor - 424,9
424,Sensor - 425,9
425,Sensor - 426,9
426,Sensor - 427,9
427,Sensor - 428,9
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,3
431,Sensor - 432,3
432,Sensor - 433,3
433,Sensor - 434,3
434,Sensor - 435,3
435,Sensor - 436,3
436,Sensor - 437,3
437,Sensor - 438,3
438,Sensor - 439,3
439,Sensor - 440,3
440,Sensor - 441,3
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,42
450,Sensor - 451,42
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,3
463,Sensor - 464,3
464,Sensor - 465,3
465,Sensor - 466,3
466,Sensor - 467,3
467,Sensor - 468,3
468,Sensor - 469,15
469,Sensor - 470,15
470,Sensor - 471,15
471,Sensor - 472,15
472,Sensor - 473,15
473,Sensor - 474,15
474,Sensor - 475,15
475,Sensor - 476,15
476,Sensor - 477,15
477,Sensor - 478,15
478,Sensor - 479,15
479,Sensor - 480,15
480,Sensor - 481,15
481,Sensor - 482,15
482,Sensor - 483,72
483,Sensor - 484,72
484,Sensor - 485,72
485,Sensor - 486,72
486,Sensor - 487,72
487,Sensor - 488,72
488,Sensor - 489,72
489,Sensor - 490,72
490,Sensor - 491,3
491,Sensor - 492,6
492,Sensor - 493,1833
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,153
497,Sensor - 498,153
498,Sensor - 499,15
499,Sensor - 500,6
500,Sensor - 501,6
501,Sensor - 502,15
502,Sensor - 503,15
503,Sensor - 504,15
504,Sensor - 505,15
505,Sensor - 506,15
506,Sensor - 507,15
507,Sensor - 508,15
508,Sensor - 509,15
509,Sensor - 510,15
510,Sensor - 511,6
511,Sensor - 512,6
512,Sensor - 513,15
513,Sensor - 514,15
514,Sensor - 515,15
515,Sensor - 516,15
516,Sensor - 517,864
517,Sensor - 518,864
518,Sensor - 519,864
519,Sensor - 520,1671
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,72
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,9
529,Sensor - 530,9
530,Sensor - 531,9
531,Sensor - 532,9
532,Sensor - 533,9
533,Sensor - 534,9
534,Sensor - 535,9
535,Sensor - 536,9
536,Sensor - 537,9
537,Sensor - 538,9
538,Sensor - 539,9
539,Sensor - 540,9
540,Sensor - 541,9
541,Sensor - 542,9
542,Sensor - 543,6
543,Sensor - 544,6
544,Sensor - 545,6
545,Sensor - 546,6
546,Sensor - 547,219
547,Sensor - 548,219
548,Sensor - 549,219
549,Sensor - 550,219
550,Sensor - 551,219
551,Sensor - 552,219
552,Sensor - 553,219
553,Sensor - 554,219
554,Sensor - 555,219
555,Sensor - 556,219
556,Sensor - 557,219
557,Sensor - 558,219
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,45
563,Sensor - 564,45
564,Sensor - 565,45
565,Sensor - 566,45
566,Sensor - 567,45
567,Sensor - 568,45
568,Sensor - 569,45
569,Sensor - 570,45
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,1506
579,Sensor - 580,1506
580,Sensor - 581,1506
581,Sensor - 582,1506
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
